kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YPR073C	0.0119064675853817	0.194100704484033	0.000171							0.137844	0.5376	0.0983	0.0848										4				
YAR018C	YPR106W	0.0229974424680236	0.0384902485166779	0.000206							0.216307	1.7287	0.1133	0.0677										4				
YAR018C	YPR111W	0.0296989082412794	0.0109534108740027	0.000234							0.17527	0.6605	0.147	0.5258								218		5				
YAR018C	YPR119W	0.00548826612925806	0.358964500740295	0.000205						-0.217601	0.148574	0.6676	0.3391	0.2136			900					927		7	0	0	1	
YAR018C	YPR120C	0.0121998384397878	0.187072807102368	0.000189						-0.217601	0.115711	0.6466	0.374	0.6466			900					921		7	0	0	1	
YAR018C	YPR161C	0.0280058522862373	0.0153603028108666	0.000233							0.118537	0.5251	0.1912	0.4424										4				
YAR018C	YAL051W	-0.0229360931933837	0.110372004765404	0.000208							0.164759	0.6412	0.1132	0.4868										4				
YAR018C	YBL005W	-0.0191092805715013	0.209331732364774	0.000212							0.185	0.7493	0.2048	0.2536										4				
YAR018C	YBL008W	-0.00989857783824795	0.5607666302377	0.000205							0.149385	0.545	0.1925	0.3605										4				
YAR018C	YBL054W	0.00711245108110634	0.645840196177962	0.000210							0.200921	1.3025	0.2684	1.3025										4				
YAR018C	YBL103C	-0.0142974857655171	0.394287710003039	0.000229							0.209353	1.4664	0.158	0.6552										4				
YAR018C	YBR033W	0.0144289917482835	0.388976894463384	0.000205							0.16101	0.6269	0.0957	0.3749										4				
YAR018C	YBR049C	-0.00577785393143393	0.679864991166405	0.000210							0.193089	1.0133	0.1377	0.4131										4				
YAR018C	YBR083W	-0.0217601901598454	0.133688796632555	0.000196							0.121689	0.5272	0.1467	0.256										4				
