KP_reg	p.value	estimate	sign	KP
YOR171C	1.83862445592681e-11	0.00948257306580861	1	YAL009W
YOR208W	1.36415207506494e-10	0.00862882421652766	1	YAL009W
YOR231W	6.0905547101007e-10	0.00840343632370451	1	YAL009W
YOR233W	7.60069512326574e-15	0.0104039247351304	1	YAL009W
YOR267C	6.05569038436764e-11	0.00824250276291904	1	YAL009W
YOR351C	1.82678781044654e-11	0.0102723507035124	1	YAL009W
YPL026C	2.52895122273795e-09	0.00861806925766273	1	YAL009W
YPL031C	1.00355783419912e-08	0.00810857422477121	1	YAL009W
YPL042C	6.39009257032741e-14	0.00999660464937428	1	YAL009W
YPL109C	4.9177202560042e-12	0.00980195843811172	1	YAL009W
YPL140C	5.68285806210173e-10	0.0080837840490315	1	YAL009W
YPL141C	7.83270592322022e-14	0.0101855663660073	1	YAL009W
YPL150W	1.2165065597637e-07	0.00741389355710644	1	YAL009W
YPL179W	8.54081890706754e-11	0.0104872911726853	1	YAL009W
YPL203W	6.53062703540735e-12	0.00930198986050845	1	YAL009W
YPL236C	2.40381260512377e-11	0.00984655838818486	1	YAL009W
YPL256C	4.73817264025285e-13	0.00902598940528031	1	YAL009W
YPR054W	6.98497076097074e-12	0.0106597294042352	1	YAL009W
YPR073C	3.74244768203695e-07	0.00792312123646878	1	YAL009W
YPR106W	1.56958992301445e-09	0.0103800287105135	1	YAL009W
YPR111W	1.92751058757675e-08	0.00852929826469702	1	YAL009W
YPR119W	3.1809492273107e-13	0.00949022843107054	1	YAL009W
