systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YBR141C,YBR141C,-0.51010979,0,-0.51864319,0,
YBR142W,MAK5,-0.4244708,0.007,-0.51010157,0,
YBR143C,SUP45,-0.14826015,1,-0.29278799,0.011,
YBR144C,YBR144C,-0.26358908,1,-0.064845042,1,
YBR145W,ADH5,-0.56024284,0.004,-0.10617341,1,
YBR146W,MRPS9,-0.49806667,0.009,-0.025282746,1,
YBR147W,YBR147W,0.4971678,0,1.9261019,0,
YBR148W,YSW1,0.63049867,0,1.1251419,0,
YBR149W,ARA1,0.032792042,1,0.34667896,0.129,
YBR150C,TBS1,0.0028681103,1,-0.54833046,0,
YBR151W,APD1,0.14297537,1,0.32558214,0.007,
YBR152W,SPP381,-0.3023347,0.351,-0.080243475,1,
YBR153W,RIB7,-0.22632431,1,-0.2282344,0.628,
YBR154C,RPB5,-0.17208995,1,-0.22008475,1,
YBR155W,CNS1,-0.39763054,0.007,-0.38662677,0,
YBR156C,SLI15,0.11025632,1,1.1558982,0,
YBR157C,ICS2,-0.03934892,1,-0.84004796,0,
YBR158W,AMN1,0.14459462,1,0.33068459,0.012,
YBR159W,IFA38,-0.023831425,1,-0.062711358,1,
YBR160W,CDC28,0.03083043,1,0.59909875,0,
YBR161W,CSH1,0.026955827,1,0.18993207,1,
YBR162C,TOS1,0.15172896,1,0.11232648,1,
YBR162W-A,YSY6,0.095411371,1,-0.12892757,1,
YBR163W,DEM1,0.10569149,1,-0.11349043,1,
YBR164C,ARL1,-0.21352408,1,0.027734411,1,
YBR165W,UBS1,0.16591837,1,-0.071970089,1,
YBR166C,TYR1,0.20267474,1,-0.13102883,1,
YBR167C,POP7,-0.33896372,0.724,0.079524891,1,
YBR168W,PEX32,-0.085222723,1,-0.095026577,1,
YBR169C,SSE2,0.73979627,0,1.2421086,0,
YBR170C,NPL4,-0.55282921,0,0.065599883,1,
YBR171W,SEC66,0.18981823,1,-0.096603801,1,
YBR172C,SMY2,-0.22140115,1,-0.41521448,0,
YBR173C,UMP1,-0.22264131,1,0.003774918,1,
YBR174C,YBR174C,-0.075979189,1,-0.014758987,1,
YBR175W,SWD3,-0.084506634,1,-0.22809414,0.996,
YBR176W,ECM31,-0.08642925,1,-0.19324536,0.998,
YBR177C,EHT1,-0.52093918,0,-0.72980598,0,
YBR178W,YBR178W,0.17631001,1,-0.12104557,1,
YBR179C,FZO1,-0.12445425,1,-0.15496526,1,
YBR180W,DTR1,-0.21081163,1,-0.24393659,0.597,
YBR181C,RPS6B,-0.26343669,1,-0.3189664,0.972,
YBR182C,SMP1,0.066826284,1,0.16423277,1,
YBR183W,YPC1,-0.38956828,0.166,0.29770794,0.781,
YBR184W,YBR184W,0.70536753,0,-0.20666508,1,
