"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YML016C,PPZ1,YDL006W,PTC1,2.701424,"Shared substrate"
YML016C,PPZ1,YNL053W,MSG5,0.487112,"Shared substrate"
YML016C,PPZ1,YDR436W,PPZ2,-11.507691,"Shared substrate"
YML016C,PPZ1,YER075C,PTP3,-0.370895,"Shared substrate"
YML016C,PPZ1,YIL113W,SDP1,1.841565,"Shared substrate"
YIL153W,RRD1,YPL152W,RRD2,-15.563636,"Shared substrate"
YOR208W,PTP2,YKL190W,CNB1,-1.569811,"Shared substrate"
YOR208W,PTP2,YER075C,PTP3,-7.517127,"Shared substrate"
YDR075W,PPH3,YNL201C,PSY2,0.430876,"Shared substrate"
YDL006W,PTC1,YBR125C,PTC4,-1.041238,"Shared substrate"
YDL006W,PTC1,YKL190W,CNB1,-0.015041,"Shared substrate"
YDL006W,PTC1,YOR208W,PTP2,-4.838799,"Shared substrate"
YDL006W,PTC1,YER089C,PTC2,-9.992339,"Shared substrate"
YDL006W,PTC1,YNL053W,MSG5,-2.025433,"Shared substrate"
YDL006W,PTC1,YER075C,PTP3,-1.295159,"Shared substrate"
YDL006W,PTC1,YIL113W,SDP1,-0.601001,"Shared substrate"
YER089C,PTC2,YBR125C,PTC4,-0.915873,"Shared substrate"
YER089C,PTC2,YMR036C,MIH1,0.124264,"Shared substrate"
YER089C,PTC2,YKL190W,CNB1,-0.970163,"Shared substrate"
YER089C,PTC2,YOR208W,PTP2,-6.796941,"Shared substrate"
YER089C,PTC2,YBL056W,PTC3,-1.878303,"Shared substrate"
YER089C,PTC2,YOR090C,PTC5,-0.315173,"Shared substrate"
YNL053W,MSG5,YOR208W,PTP2,-0.313369,"Shared substrate"
YNL053W,MSG5,YER075C,PTP3,0.408374,"Shared substrate"
YNL053W,MSG5,YIL113W,SDP1,0.968881,"Shared substrate"
YDR436W,PPZ2,YOR208W,PTP2,0.716197,"Shared substrate"
YDR436W,PPZ2,YDL006W,PTC1,-0.519053,"Shared substrate"
YDR436W,PPZ2,YNL053W,MSG5,0.343815,"Shared substrate"
YDR436W,PPZ2,YER075C,PTP3,-0.027805,"Shared substrate"
YDR436W,PPZ2,YDL047W,SIT4,0.508715,"Shared substrate"
YDR436W,PPZ2,YIL113W,SDP1,0.206888,"Shared substrate"
YDL134C,PPH21,YDL188C,PPH22,-15.336217,"Shared substrate"
YDL134C,PPH21,YMR036C,MIH1,0.881728,"Shared substrate"
YDL134C,PPH21,YER089C,PTC2,-2.407359,"Shared substrate"
YDL134C,PPH21,YGL190C,CDC55,0.56453,"Shared substrate"
YDL134C,PPH21,YOR014W,RTS1,1.01366,"Shared substrate"
YDL134C,PPH21,YDL047W,SIT4,0.741065,"Shared substrate"
YDL134C,PPH21,YBL056W,PTC3,-0.809884,"Shared substrate"
YDL134C,PPH21,YOR090C,PTC5,1.191226,"Shared substrate"
