P	Target
YOR351C	YGR001C
YOR351C	YGR078C
YOR351C	YGR240C
YOR351C	YGR287C
YOR351C	YHL024W
YOR351C	YHR033W
YOR351C	YJL138C
YOR351C	YJR070C
YOR351C	YJR154W
YOR351C	YKL052C
YOR351C	YLR258W
YOR351C	YML048W
YOR351C	YMR041C
YOR351C	YMR140W
YOR351C	YNL104C
YOR351C	YNL117W
YOR351C	YNR033W
YOR351C	YNR064C
YOR351C	YOL082W
YOR351C	YOR335C
YOR351C	YPL077C
YOR351C	YPR035W
YPL026C	YCR016W
YPL026C	YDR516C
YPL026C	YGR200C
YPL026C	YKL023W
YPL026C	YKL210W
YPL026C	YKL211C
YPL026C	YKR080W
YPL026C	YPL171C
YPL042C	YGL019W
YPL042C	YMR196W
YPL141C	YBR053C
YPL141C	YEL012W
YPL141C	YEL037C
YPL141C	YFL010C
YPL141C	YGR017W
YPL141C	YJL138C
YPL141C	YJR047C
YPL141C	YJR062C
YPL141C	YJR097W
YPL141C	YJR154W
YPL141C	YLR258W
YPL141C	YMR139W
YPL141C	YNL027W
YPL141C	YOL082W
YPL141C	YOR260W
YPL141C	YPL201C
YPL150W	YDR256C
YPL150W	YDR516C
YPL150W	YEL029C
YPL150W	YEL047C
YPL150W	YGR223C
YPL150W	YHR183W
YPL150W	YJR096W
YPL150W	YLR285W
YPL150W	YMR303C
YPL150W	YOL066C
YPL150W	YOR238W
YPL203W	YBR207W
YPL203W	YDL065C
YPL203W	YIL016W
YPL203W	YIL033C
YPL203W	YMR140W
YPL203W	YNL198C
YPL203W	YOL147C
YPL204W	YBR019C
YPL204W	YDL110C
YPL204W	YDR309C
YPL204W	YEL029C
YPL204W	YER175C
YPL204W	YGL134W
YPL204W	YGR028W
YPL204W	YGR200C
YPL204W	YGR223C
YPL204W	YHR014W
YPL204W	YHR043C
YPL204W	YHR074W
YPL204W	YJL051W
YPL204W	YJR025C
YPL204W	YJR082C
YPL204W	YJR103W
YPL204W	YJR105W
YPL204W	YJR109C
YPL204W	YKL181W
YPL204W	YKL210W
YPL204W	YKR047W
YPL204W	YKR080W
YPL204W	YLR258W
YPL204W	YLR285W
YPL204W	YLR301W
YPL204W	YMR004W
YPL204W	YMR196W
YPL204W	YMR216C
YPL204W	YNL027W
YPL204W	YNL066W
YPL204W	YNL192W
YPL204W	YOR117W
YPL204W	YOR141C
YPL204W	YOR155C
YPL204W	YOR306C
YPL204W	YPL061W
YPL204W	YPL171C
YPL204W	YPR083W
YPL204W	YPR145W
YPL209C	YBL011W
YPL209C	YBL095W
YPL209C	YCR064C
YPL209C	YDL183C
YPL209C	YDR098C
YPL209C	YDR135C
YPL209C	YGL076C
YPL209C	YGR130C
YPL209C	YGR168C
YPL209C	YIL010W
YPL209C	YKL091C
YPL209C	YLL008W
YPL209C	YLR055C
YPL209C	YLR248W
YPL209C	YMR229C
YPL209C	YMR235C
YPL209C	YMR260C
YPL209C	YNL246W
YPL209C	YOR141C
YPL209C	YOR288C
YPL209C	YPL150W
YPR054W	YGR223C
YPR054W	YJR025C
YPR054W	YKL210W
YPR054W	YKR047W
YPR054W	YNR046W
YPR106W	YDL103C
YPR106W	YFL023W
YPR106W	YGR180C
YPR106W	YGR210C
YPR106W	YHL024W
YPR106W	YJR076C
YPR106W	YJR154W
YPR106W	YKR018C
YPR106W	YKR079C
YPR106W	YLR060W
YPR106W	YML001W
YPR106W	YML048W
YPR106W	YMR139W
YPR106W	YNL027W
YPR106W	YNL064C
YPR106W	YNL104C
YPR106W	YNL121C
YPR106W	YOR027W
YPR106W	YOR335C
YPR106W	YPL077C
YPR111W	YEL029C
YPR111W	YKR047W
