P	Target	Relationship
YBR160W	YOR304W	kinase
YBR160W	YOR315W	kinase
YBR160W	YOR358W	kinase
YBR160W	YOR372C	kinase
YBR160W	YPL014W	kinase
YBR160W	YPL020C	kinase
YBR160W	YPL031C	kinase
YBR160W	YPL070W	kinase
YBR160W	YPL082C	kinase
YBR160W	YPL085W	kinase
YBR160W	YPL101W	kinase
YBR160W	YPL115C	kinase
YBR160W	YPL124W	kinase
YBR160W	YPL127C	kinase
YBR160W	YPL141C	kinase
YBR160W	YPL150W	kinase
YBR160W	YPL153C	kinase
YBR160W	YPL155C	kinase
YBR160W	YPL160W	kinase
YBR160W	YPL180W	kinase
YBR160W	YPL209C	kinase
YBR160W	YPL221W	kinase
YBR160W	YPL242C	kinase
YBR160W	YPL248C	kinase
YBR160W	YPL256C	kinase
YBR160W	YPL267W	kinase
YBR160W	YPL269W	kinase
YBR160W	YPR018W	kinase
YBR160W	YPR019W	kinase
YBR160W	YPR030W	kinase
YBR160W	YPR054W	kinase
YBR160W	YPR072W	kinase
YBR160W	YPR091C	kinase
YBR160W	YPR095C	kinase
YBR160W	YPR111W	kinase
YBR160W	YPR115W	kinase
YBR160W	YPR119W	kinase
YBR160W	YPR120C	kinase
YBR160W	YPR141C	kinase
YBR160W	YPR162C	kinase
YBR160W	YPR171W	kinase
YBR160W	YPR174C	kinase
YBR160W	YPR175W	kinase
YBR274W	YBR019C	kinase
YBR274W	YBR177C	kinase
YBR274W	YBR252W	kinase
YBR274W	YDL236W	kinase
YBR274W	YDR113C	kinase
YBR274W	YDR516C	kinase
YBR274W	YGR200C	kinase
YBR274W	YHR174W	kinase
YBR274W	YJR082C	kinase
YBR274W	YKL181W	kinase
YBR274W	YKL210W	kinase
YBR274W	YKL211C	kinase
YBR274W	YKR047W	kinase
YBR274W	YMR146C	kinase
YBR274W	YNR046W	kinase
YBR274W	YPL171C	kinase
YBR274W	YPR145W	kinase
YBR276C	YCL032W	phosphatase
YBR276C	YDL223C	phosphatase
YCL024W	YBL011W	-
YCL024W	YCL035C	-
YCL024W	YDR098C	-
YCL024W	YDR382W	-
YCL024W	YDR507C	-
YCL024W	YEL037C	-
YCL024W	YFL010C	-
YCL024W	YGR021W	-
YCL024W	YHR107C	-
YCL024W	YJR062C	-
YCL024W	YJR076C	-
YCL024W	YJR092W	-
YCL024W	YJR097W	-
YCL024W	YJR112W	-
YCL024W	YKL091C	-
YCL024W	YKL181W	-
YCL024W	YKR071C	-
YCL024W	YLR055C	-
YCL024W	YLR060W	-
YCL024W	YLR314C	-
YCL024W	YML062C	-
YCL024W	YMR140W	-
YCL024W	YNL027W	-
YCL024W	YNL113W	-
YCL024W	YNL206C	-
YCL024W	YNL272C	-
YCL024W	YOR141C	-
YCR008W	YAR009C	kinase
YCR008W	YDL006W	kinase
YCR008W	YDL177C	kinase
YCR008W	YDL223C	kinase
YCR008W	YDR364C	kinase
YCR008W	YER174C	kinase
YCR008W	YGR258C	kinase
YCR008W	YHR068W	kinase
YCR008W	YIL016W	kinase
YCR008W	YJL004C	kinase
YCR008W	YJL033W	kinase
YCR008W	YJL189W	kinase
YCR008W	YJR076C	kinase
YCR008W	YLR054C	kinase
YCR008W	YMR140W	kinase
YCR073C	YJL128C	kinase
YCR073C	YLR006C	kinase
YCR073C	YLR113W	kinase
YCR079W	YFL014W	phosphatase
YCR091W	YDL195W	kinase
YCR091W	YDR173C	kinase
YCR091W	YEL028W	kinase
YCR091W	YGR223C	kinase
YCR091W	YKL126W	kinase
YCR091W	YMR216C	kinase
YDL006W	YHR030C	phosphatase
YDL006W	YLR113W	phosphatase
YDL006W	YOR216C	phosphatase
YDL017W	YBL023C	kinase
YDL017W	YBR060C	kinase
YDL017W	YBR098W	kinase
YDL017W	YDL017W	kinase
YDL017W	YDR052C	kinase
YDL017W	YDR439W	kinase
YDL017W	YEL032W	kinase
YDL017W	YGL201C	kinase
YDL017W	YHR118C	kinase
YDL017W	YIR008C	kinase
YDL017W	YJR021C	kinase
YDL017W	YJR082C	kinase
YDL017W	YKR047W	kinase
YDL017W	YLR103C	kinase
YDL017W	YMR001C	kinase
YDL017W	YMR043W	kinase
YDL017W	YMR146C	kinase
YDL017W	YNL312W	kinase
YDL017W	YPR007C	kinase
YDL017W	YPR019W	kinase
YDL025C	YBL055C	kinase
YDL025C	YDL183C	kinase
YDL025C	YDR132C	kinase
YDL025C	YDR203W	kinase
YDL025C	YEL028W	kinase
YDL025C	YEL046C	kinase
YDL025C	YGL034C	kinase
YDL025C	YGL077C	kinase
YDL025C	YGR240C	kinase
YDL025C	YJL033W	kinase
YDL025C	YJL105W	kinase
YDL025C	YJR129C	kinase
YDL025C	YML048W	kinase
YDL025C	YMR196W	kinase
YDL025C	YMR205C	kinase
YDL025C	YMR216C	kinase
YDL025C	YOR054C	kinase
YDL025C	YOR094W	kinase
YDL025C	YOR177C	kinase
YDL025C	YPL220W	kinase
YDL025C	YPR019W	kinase
YDL028C	YBL055C	kinase
YDL028C	YBL078C	kinase
YDL028C	YBR200W	kinase
YDL028C	YBR211C	kinase
YDL028C	YDL126C	kinase
YDL028C	YDL132W	kinase
YDL028C	YDL203C	kinase
YDL028C	YDR162C	kinase
YDL028C	YDR168W	kinase
